t,throttle,pitch,roll,yaw
0.00,1000.0,1500,1500,1500
0.02,1001.7,1500,1500,1500
0.04,1003.4,1500,1500,1500
0.06,1005.2,1500,1500,1500
0.08,1006.9,1500,1500,1500
0.10,1008.7,1500,1500,1500
0.12,1010.6,1500,1500,1500
0.14,1012.4,1500,1500,1500
0.16,1014.3,1500,1500,1500
0.18,1016.2,1500,1500,1500
0.20,1018.2,1500,1500,1500
0.22,1020.1,1500,1500,1500
0.24,1022.1,1500,1500,1500
0.26,1024.2,1500,1500,1500
0.28,1026.2,1500,1500,1500
0.30,1028.3,1500,1500,1500
0.32,1030.4,1500,1500,1500
0.34,1032.5,1500,1500,1500
0.36,1034.7,1500,1500,1500
0.38,1036.9,1500,1500,1500
0.40,1039.1,1500,1500,1500
0.42,1041.4,1500,1500,1500
0.44,1043.7,1500,1500,1500
0.46,1046.0,1500,1500,1500
0.48,1048.3,1500,1500,1500
0.50,1050.7,1500,1500,1500
0.52,1053.1,1500,1500,1500
0.54,1055.5,1500,1500,1500
0.56,1057.9,1500,1500,1500
0.58,1060.4,1500,1500,1500
0.60,1062.9,1500,1500,1500
0.62,1065.4,1500,1500,1500
0.64,1068.0,1500,1500,1500
0.66,1070.5,1500,1500,1500
0.68,1073.1,1500,1500,1500
0.70,1075.8,1500,1500,1500
0.72,1078.4,1500,1500,1500
0.74,1081.1,1500,1500,1500
0.76,1083.8,1500,1500,1500
0.78,1086.5,1500,1500,1500
0.80,1089.3,1500,1500,1500
0.82,1092.1,1500,1500,1500
0.84,1094.8,1500,1500,1500
0.86,1097.7,1500,1500,1500
0.88,1100.5,1500,1500,1500
0.90,1103.4,1500,1500,1500
0.92,1106.3,1500,1500,1500
0.94,1109.2,1500,1500,1500
0.96,1112.1,1500,1500,1500
0.98,1115.0,1500,1500,1500
1.00,1118.0,1500,1500,1500
1.02,1121.0,1500,1500,1500
1.04,1124.0,1500,1500,1500
1.06,1127.0,1500,1500,1500
1.08,1130.0,1500,1500,1500
1.10,1133.0,1500,1500,1500
1.12,1136.1,1500,1500,1500
1.14,1139.2,1500,1500,1500
1.16,1142.3,1500,1500,1500
1.18,1145.3,1500,1500,1500
1.20,1148.5,1500,1500,1500
1.22,1151.6,1500,1500,1500
1.24,1154.7,1500,1500,1500
1.26,1157.9,1500,1500,1500
1.28,1161.0,1500,1500,1500
1.30,1164.2,1500,1500,1500
1.32,1167.3,1500,1500,1500
1.34,1170.5,1500,1500,1500
1.36,1173.7,1500,1500,1500
1.38,1176.8,1500,1500,1500
1.40,1180.0,1500,1500,1500
1.42,1183.2,1500,1500,1500
1.44,1186.4,1500,1500,1500
1.46,1189.6,1500,1500,1500
1.48,1192.8,1500,1500,1500
1.50,1196.0,1500,1500,1500
1.52,1199.1,1500,1500,1500
1.54,1202.3,1500,1500,1500
1.56,1205.5,1500,1500,1500
1.58,1208.7,1500,1500,1500
1.60,1211.8,1500,1500,1500
1.62,1215.0,1500,1500,1500
1.64,1218.2,1500,1500,1500
1.66,1221.3,1500,1500,1500
1.68,1224.4,1500,1500,1500
1.70,1227.6,1500,1500,1500
1.72,1230.7,1500,1500,1500
1.74,1233.8,1500,1500,1500
1.76,1236.9,1500,1500,1500
1.78,1240.0,1500,1500,1500
1.80,1243.0,1500,1500,1500
1.82,1246.1,1500,1500,1500
1.84,1249.1,1500,1500,1500
1.86,1252.1,1500,1500,1500
1.88,1255.1,1500,1500,1500
1.90,1258.1,1500,1500,1500
1.92,1261.1,1500,1500,1500
1.94,1264.0,1500,1500,1500
1.96,1266.9,1500,1500,1500
1.98,1269.8,1500,1500,1500
2.00,1272.7,1500,1500,1500
2.02,1275.6,1500,1500,1500
2.04,1278.4,1500,1500,1500
2.06,1281.2,1500,1500,1500
2.08,1284.0,1500,1500,1500
2.10,1286.8,1500,1500,1500
2.12,1289.5,1500,1500,1500
2.14,1292.2,1500,1500,1500
2.16,1294.9,1500,1500,1500
2.18,1297.6,1500,1500,1500
2.20,1300.2,1500,1500,1500
2.22,1302.8,1500,1500,1500
2.24,1305.4,1500,1500,1500
2.26,1307.9,1500,1500,1500
2.28,1310.4,1500,1500,1500
2.30,1312.9,1500,1500,1500
2.32,1315.3,1500,1500,1500
2.34,1317.8,1500,1500,1500
2.36,1320.2,1500,1500,1500
2.38,1322.5,1500,1500,1500
2.40,1324.8,1500,1500,1500
2.42,1327.1,1500,1500,1500
2.44,1329.4,1500,1500,1500
2.46,1331.6,1500,1500,1500
2.48,1333.8,1500,1500,1500
2.50,1336.0,1500,1500,1500
2.52,1338.1,1500,1500,1500
2.54,1340.2,1500,1500,1500
2.56,1342.3,1500,1500,1500
2.58,1344.3,1500,1500,1500
2.60,1346.3,1500,1500,1500
2.62,1348.3,1500,1500,1500
2.64,1350.2,1500,1500,1500
2.66,1352.1,1500,1500,1500
2.68,1354.0,1500,1500,1500
2.70,1355.9,1500,1500,1500
2.72,1357.7,1500,1500,1500
2.74,1359.4,1500,1500,1500
2.76,1361.2,1500,1500,1500
2.78,1362.9,1500,1500,1500
2.80,1364.5,1500,1500,1500
2.82,1366.2,1500,1500,1500
2.84,1367.8,1500,1500,1500
2.86,1369.4,1500,1500,1500
2.88,1370.9,1500,1500,1500
2.90,1372.4,1500,1500,1500
2.92,1373.9,1500,1500,1500
2.94,1375.4,1500,1500,1500
2.96,1376.8,1500,1500,1500
2.98,1378.2,1500,1500,1500
3.00,1379.5,1500,1500,1500
3.02,1380.8,1500,1500,1500
3.04,1382.1,1500,1500,1500
3.06,1383.4,1500,1500,1500
3.08,1384.6,1500,1500,1500
3.10,1385.9,1500,1500,1500
3.12,1387.0,1500,1500,1500
3.14,1388.2,1500,1500,1500
3.16,1389.3,1500,1500,1500
3.18,1390.4,1500,1500,1500
3.20,1391.5,1500,1500,1500
3.22,1392.5,1500,1500,1500
3.24,1393.5,1500,1500,1500
3.26,1394.5,1500,1500,1500
3.28,1395.5,1500,1500,1500
3.30,1396.4,1500,1500,1500
3.32,1397.3,1500,1500,1500
3.34,1398.2,1500,1500,1500
3.36,1399.0,1500,1500,1500
3.38,1399.9,1500,1500,1500
3.40,1400.7,1500,1500,1500
3.42,1401.5,1500,1500,1500
3.44,1402.2,1500,1500,1500
3.46,1403.0,1500,1500,1500
3.48,1403.7,1500,1500,1500
3.50,1404.4,1500,1500,1500
3.52,1405.1,1500,1500,1500
3.54,1405.7,1500,1500,1500
3.56,1406.4,1500,1500,1500
3.58,1407.0,1500,1500,1500
3.60,1407.6,1500,1500,1500
3.62,1408.1,1500,1500,1500
3.64,1408.7,1500,1500,1500
3.66,1409.2,1500,1500,1500
3.68,1409.8,1500,1500,1500
3.70,1410.3,1500,1500,1500
3.72,1410.7,1500,1500,1500
3.74,1411.2,1500,1500,1500
3.76,1411.7,1500,1500,1500
3.78,1412.1,1500,1500,1500
3.80,1412.5,1500,1500,1500
3.82,1412.9,1500,1500,1500
3.84,1413.3,1500,1500,1500
3.86,1413.6,1500,1500,1500
3.88,1414.0,1500,1500,1500
3.90,1414.3,1500,1500,1500
3.92,1414.7,1500,1500,1500
3.94,1415.0,1500,1500,1500
3.96,1415.3,1500,1500,1500
3.98,1415.6,1500,1500,1500
4.00,1415.8,1500,1500,1500
4.02,1416.1,1500,1500,1500
4.04,1416.4,1500,1500,1500
4.06,1416.6,1500,1500,1500
4.08,1416.8,1500,1500,1500
